Time: 0.0, Angular acceleration X: 0.0260164, Angular acceleration y: 1.54478,
Time: 0.071, Angular acceleration X: 0.0278812, Angular acceleration y: 1.54291,
Time: 0.14, Angular acceleration X: 0.039834, Angular acceleration y: 1.53096,
Time: 0.212, Angular acceleration X: -0.00408161, Angular acceleration y: 1.57488,
Time: 0.282, Angular acceleration X: 0.0147591, Angular acceleration y: 1.55604,
Time: 0.354, Angular acceleration X: 0.0191547, Angular acceleration y: 1.55164,
Time: 0.421, Angular acceleration X: 0.0261135, Angular acceleration y: 1.54468,
Time: 0.491, Angular acceleration X: 0.0159986, Angular acceleration y: 1.5548,
Time: 0.558, Angular acceleration X: 0.0198387, Angular acceleration y: 1.55096,
Time: 0.628, Angular acceleration X: 0.0313623, Angular acceleration y: 1.53943,
Time: 0.698, Angular acceleration X: 0.0193026, Angular acceleration y: 1.55149,
Time: 0.767, Angular acceleration X: 0.0258245, Angular acceleration y: 1.54497,
Time: 0.837, Angular acceleration X: 0.0343376, Angular acceleration y: 1.53646,
Time: 0.907, Angular acceleration X: 0.023711, Angular acceleration y: 1.54709,
Time: 0.976, Angular acceleration X: 0.0113631, Angular acceleration y: 1.55943,
Time: 1.05, Angular acceleration X: 0.00763344, Angular acceleration y: 1.56316,
Time: 1.12, Angular acceleration X: 0.0190091, Angular acceleration y: 1.55179,
Time: 1.191, Angular acceleration X: 0.0148688, Angular acceleration y: 1.55593,
Time: 1.261, Angular acceleration X: 0.0121452, Angular acceleration y: 1.55865,
Time: 1.33, Angular acceleration X: 0.00408161, Angular acceleration y: 1.56671,
Time: 1.4, Angular acceleration X: -0.00746255, Angular acceleration y: 1.57826,
Time: 1.47, Angular acceleration X: -1.67046, Angular acceleration y: -3.04192,
Time: 1.54, Angular acceleration X: -1.46688, Angular acceleration y: 3.03767,
Time: 1.609, Angular acceleration X: -1.56162, Angular acceleration y: 3.13242,
Time: 1.679, Angular acceleration X: -1.59732, Angular acceleration y: -3.11507,
Time: 1.746, Angular acceleration X: -1.60608, Angular acceleration y: -3.10631,
Time: 1.816, Angular acceleration X: -1.61782, Angular acceleration y: -3.09457,
Time: 1.884, Angular acceleration X: -1.57472, Angular acceleration y: -3.13767,
Time: 1.954, Angular acceleration X: -1.53349, Angular acceleration y: 3.10428,
Time: 2.027, Angular acceleration X: -1.48336, Angular acceleration y: 3.05415,
Time: 2.099, Angular acceleration X: -1.3734, Angular acceleration y: 2.9442,
Time: 2.165, Angular acceleration X: -1.10715, Angular acceleration y: 2.67795,
Time: 2.234, Angular acceleration X: -0.924283, Angular acceleration y: 2.49508,
Time: 2.302, Angular acceleration X: -1.32783, Angular acceleration y: 2.89863,
Time: 2.373, Angular acceleration X: -1.47882, Angular acceleration y: 3.04962,
Time: 2.443, Angular acceleration X: -1.56549, Angular acceleration y: 3.13629,
Time: 2.513, Angular acceleration X: -1.58072, Angular acceleration y: -3.13167,
Time: 2.582, Angular acceleration X: -1.63346, Angular acceleration y: -3.07893,
Time: 2.651, Angular acceleration X: -1.62955, Angular acceleration y: -3.08284,
Time: 2.721, Angular acceleration X: -1.67495, Angular acceleration y: -3.03743,
Time: 2.791, Angular acceleration X: -1.6795, Angular acceleration y: -3.03289,
Time: 2.86, Angular acceleration X: -1.73884, Angular acceleration y: -2.97355,
Time: 2.93, Angular acceleration X: -1.85312, Angular acceleration y: -2.85926,
Time: 3.0, Angular acceleration X: -1.78189, Angular acceleration y: -2.9305,
Time: 3.072, Angular acceleration X: -1.52229, Angular acceleration y: 3.09309,
Time: 3.145, Angular acceleration X: -1.53491, Angular acceleration y: 3.10571,
Time: 3.215, Angular acceleration X: -1.56771, Angular acceleration y: 3.13851,
Time: 3.284, Angular acceleration X: -1.56851, Angular acceleration y: 3.1393,
Time: 3.354, Angular acceleration X: -1.59432, Angular acceleration y: -3.11807,
Time: 3.424, Angular acceleration X: -1.56491, Angular acceleration y: 3.13571,
Time: 3.494, Angular acceleration X: -1.57291, Angular acceleration y: -3.13948,
Time: 3.563, Angular acceleration X: -1.54705, Angular acceleration y: 3.11785,
Time: 3.631, Angular acceleration X: -1.49371, Angular acceleration y: 3.06451,
Time: 3.7, Angular acceleration X: -1.44496, Angular acceleration y: 3.01575,
Time: 3.77, Angular acceleration X: -1.29141, Angular acceleration y: 2.86221,
Time: 3.84, Angular acceleration X: -1.45592, Angular acceleration y: 3.02672,
Time: 3.909, Angular acceleration X: -1.53581, Angular acceleration y: 3.10661,
Time: 3.979, Angular acceleration X: -1.57433, Angular acceleration y: -3.13806,
Time: 4.051, Angular acceleration X: -1.60094, Angular acceleration y: -3.11145,
Time: 4.122, Angular acceleration X: -1.62247, Angular acceleration y: -3.08991,
Time: 4.19, Angular acceleration X: -1.62618, Angular acceleration y: -3.08621,
Time: 4.26, Angular acceleration X: -1.63266, Angular acceleration y: -3.07972,
Time: 4.33, Angular acceleration X: -1.63811, Angular acceleration y: -3.07428,
Time: 4.399, Angular acceleration X: -1.66044, Angular acceleration y: -3.05195,
Time: 4.469, Angular acceleration X: -1.70222, Angular acceleration y: -3.01017,
Time: 4.539, Angular acceleration X: -1.6943, Angular acceleration y: -3.01809,
Time: 4.608, Angular acceleration X: 0.233977, Angular acceleration y: 1.33682,
Time: 4.678, Angular acceleration X: -0.789618, Angular acceleration y: 2.36041,
Time: 4.748, Angular acceleration X: -0.556075, Angular acceleration y: 2.12687,
Time: 4.815, Angular acceleration X: -0.569864, Angular acceleration y: 2.14066,
Time: 4.885, Angular acceleration X: -0.451986, Angular acceleration y: 2.02278,
Time: 4.954, Angular acceleration X: -0.567331, Angular acceleration y: 2.13813,
Time: 5.027, Angular acceleration X: -0.534183, Angular acceleration y: 2.10498,
Time: 5.098, Angular acceleration X: -0.695855, Angular acceleration y: 2.26665,
Time: 5.169, Angular acceleration X: -0.617844, Angular acceleration y: 2.18864,
Time: 5.239, Angular acceleration X: -0.583573, Angular acceleration y: 2.15437,
Time: 5.309, Angular acceleration X: -0.476892, Angular acceleration y: 2.04769,
Time: 5.378, Angular acceleration X: -0.336579, Angular acceleration y: 1.90737,
