Time: 0.0, Angular acceleration X: -2.21351, Angular acceleration y: -2.49888,
Time: 0.099, Angular acceleration X: -2.61457, Angular acceleration y: -2.09782,
Time: 0.201, Angular acceleration X: 2.98894, Angular acceleration y: -1.41815,
Time: 0.303, Angular acceleration X: -3.10827, Angular acceleration y: -1.60412,
Time: 0.404, Angular acceleration X: -2.29096, Angular acceleration y: -2.42143,
Time: 0.502, Angular acceleration X: 3.10589, Angular acceleration y: -1.5351,
Time: 0.601, Angular acceleration X: 3.00484, Angular acceleration y: -1.43404,
Time: 0.701, Angular acceleration X: 1.97777, Angular acceleration y: -0.406971,
Time: 0.799, Angular acceleration X: 2.27305, Angular acceleration y: -0.702257,
Time: 0.898, Angular acceleration X: -1.24905, Angular acceleration y: 2.81984,
Time: 0.997, Angular acceleration X: -1.44895, Angular acceleration y: 3.01975,
Time: 1.097, Angular acceleration X: -1.43628, Angular acceleration y: 3.00707,
Time: 1.193, Angular acceleration X: -1.42567, Angular acceleration y: 2.99647,
Time: 1.292, Angular acceleration X: -1.389, Angular acceleration y: 2.9598,
Time: 1.39, Angular acceleration X: -1.6204, Angular acceleration y: -3.09199,
Time: 1.496, Angular acceleration X: -1.33296, Angular acceleration y: 2.90376,
Time: 1.594, Angular acceleration X: -1.30111, Angular acceleration y: 2.8719,
Time: 1.694, Angular acceleration X: -1.28333, Angular acceleration y: 2.85413,
Time: 1.793, Angular acceleration X: -1.23496, Angular acceleration y: 2.80576,
Time: 1.892, Angular acceleration X: -1.25214, Angular acceleration y: 2.82294,
Time: 1.993, Angular acceleration X: -1.18842, Angular acceleration y: 2.75921,
Time: 2.092, Angular acceleration X: -1.10715, Angular acceleration y: 2.67795,
Time: 2.192, Angular acceleration X: -1.07938, Angular acceleration y: 2.65017,
Time: 2.291, Angular acceleration X: -1.02593, Angular acceleration y: 2.59673,
Time: 2.391, Angular acceleration X: -0.975012, Angular acceleration y: 2.54581,
Time: 2.49, Angular acceleration X: -0.874054, Angular acceleration y: 2.44485,
Time: 2.59, Angular acceleration X: -0.750929, Angular acceleration y: 2.32172,
Time: 2.69, Angular acceleration X: -0.734161, Angular acceleration y: 2.30496,
Time: 2.786, Angular acceleration X: -0.582353, Angular acceleration y: 2.15315,
Time: 2.89, Angular acceleration X: -0.472497, Angular acceleration y: 2.04329,
Time: 2.991, Angular acceleration X: -0.37649, Angular acceleration y: 1.94729,
Time: 3.09, Angular acceleration X: -0.260602, Angular acceleration y: 1.8314,
Time: 3.211, Angular acceleration X: -0.151015, Angular acceleration y: 1.72181,
Time: 3.311, Angular acceleration X: -0.0222186, Angular acceleration y: 1.59301,
Time: 3.411, Angular acceleration X: -0.0434509, Angular acceleration y: 1.61425,
Time: 3.51, Angular acceleration X: 0.0637433, Angular acceleration y: 1.50705,
Time: 3.61, Angular acceleration X: 0.0886559, Angular acceleration y: 1.48214,
Time: 3.709, Angular acceleration X: 0.0940612, Angular acceleration y: 1.47674,
Time: 3.809, Angular acceleration X: 0.126973, Angular acceleration y: 1.44382,
Time: 3.905, Angular acceleration X: 0.126973, Angular acceleration y: 1.44382,
Time: 4.005, Angular acceleration X: 0.103792, Angular acceleration y: 1.467,
Time: 4.104, Angular acceleration X: 0.0849018, Angular acceleration y: 1.48589,
Time: 4.204, Angular acceleration X: 0.144812, Angular acceleration y: 1.42598,
Time: 4.309, Angular acceleration X: 0.124355, Angular acceleration y: 1.44644,
Time: 4.43, Angular acceleration X: 0.126973, Angular acceleration y: 1.44382,
Time: 4.53, Angular acceleration X: 0.126973, Angular acceleration y: 1.44382,
Time: 4.629, Angular acceleration X: 0.165149, Angular acceleration y: 1.40565,
Time: 4.729, Angular acceleration X: 0.141897, Angular acceleration y: 1.4289,
Time: 4.828, Angular acceleration X: 0.172191, Angular acceleration y: 1.39861,
Time: 4.926, Angular acceleration X: 0.07983, Angular acceleration y: 1.49097,
Time: 5.026, Angular acceleration X: 0.151015, Angular acceleration y: 1.41978,
Time: 5.124, Angular acceleration X: 0.124355, Angular acceleration y: 1.44644,
Time: 5.225, Angular acceleration X: 0.129703, Angular acceleration y: 1.44109,
Time: 5.324, Angular acceleration X: 0.172191, Angular acceleration y: 1.39861,
Time: 5.423, Angular acceleration X: 0.126973, Angular acceleration y: 1.44382,
Time: 5.524, Angular acceleration X: 0.147849, Angular acceleration y: 1.42295,
Time: 5.623, Angular acceleration X: 0.144812, Angular acceleration y: 1.42598,
Time: 5.75, Angular acceleration X: 0.121842, Angular acceleration y: 1.44895,
Time: 5.853, Angular acceleration X: 0.168597, Angular acceleration y: 1.4022,
Time: 5.953, Angular acceleration X: 0.154319, Angular acceleration y: 1.41648,
Time: 6.055, Angular acceleration X: 0.132551, Angular acceleration y: 1.43824,
Time: 6.154, Angular acceleration X: 0.239743, Angular acceleration y: 1.33105,
Time: 6.254, Angular acceleration X: 0.151015, Angular acceleration y: 1.41978,
Time: 6.353, Angular acceleration X: 0.20964, Angular acceleration y: 1.36116,
Time: 6.453, Angular acceleration X: 0.151015, Angular acceleration y: 1.41978,
Time: 6.551, Angular acceleration X: 0.193211, Angular acceleration y: 1.37758,
Time: 6.65, Angular acceleration X: 0.193211, Angular acceleration y: 1.37758,
Time: 6.749, Angular acceleration X: 0.189199, Angular acceleration y: 1.3816,
Time: 6.85, Angular acceleration X: 0.189199, Angular acceleration y: 1.3816,
Time: 6.946, Angular acceleration X: 0.168597, Angular acceleration y: 1.4022,
Time: 7.067, Angular acceleration X: 0.172191, Angular acceleration y: 1.39861,
Time: 7.167, Angular acceleration X: 0.168597, Angular acceleration y: 1.4022,
Time: 7.269, Angular acceleration X: 0.141897, Angular acceleration y: 1.4289,
Time: 7.371, Angular acceleration X: 0.193211, Angular acceleration y: 1.37758,
Time: 7.47, Angular acceleration X: 0.185348, Angular acceleration y: 1.38545,
Time: 7.57, Angular acceleration X: 0.20964, Angular acceleration y: 1.36116,
